bord_id,pcode,exdate,numpers
1991,5004,04Apr99,6
1994,5004,04Apr99,21
2074,5004,04Apr99,4
2095,5004,04Apr99,50
1476,5004,04Apr99,7
2075,5004,04Apr99,6
1509,5004,04Apr99,8
2023,5004,04Apr99,5
1559,5004,04Apr99,5
2000,5004,04Apr99,28
1967,5004,04Apr99,13
1745,5004,04Apr99,30
2077,5004,04Apr99,6
1508,5004,04Apr99,13
1984,5004,04Apr99,23
2099,5004,04Apr99,19
1556,5004,04Apr99,23
1493,5004,04Apr99,18
2019,5004,04Apr99,35
1511,5004,04Apr99,5
1748,5004,04Apr99,6
1512,5004,04Apr99,7
1510,5004,04Apr99,7
1514,5004,04Apr99,18
2131,5004,04Apr99,7
1603,5004,04Apr99,11
2022,5004,04Apr99,34
1964,5004,04Apr99,3
2129,5004,04Apr99,32
1747,5004,04Apr99,7
1450,5004,04Apr99,6
1971,5004,04Apr99,7
1970,5004,04Apr99,19
1987,5004,04Apr99,31
1557,5004,04Apr99,6
1993,5004,04Apr99,5
1749,5004,04Apr99,33
2093,5004,04Apr99,18
1986,5004,04Apr99,184
1974,5004,04Apr99,21
2001,5004,04Apr99,10
1963,5004,04Apr99,7
2004,5004,04Apr99,24
2097,5004,04Apr99,20
1491,5004,04Apr99,13
1560,5004,04Apr99,8
1750,5004,04Apr99,7
2122,5004,04Apr99,7
1494,5004,04Apr99,16
1490,5004,04Apr99,5
2051,5004,04Apr99,16
2070,5004,04Apr99,40
1489,5004,04Apr99,7
1488,5004,04Apr99,6
1810,5004,04Apr99,16
1962,5004,04Apr99,20
1977,5004,04Apr99,8
2049,5004,04Apr99,25
2002,5004,04Apr99,48
2003,5004,04Apr99,10
2133,5004,04Apr99,35
2123,5004,04Apr99,9
2025,5004,04Apr99,17
1985,5004,04Apr99,18
2096,5004,04Apr99,6
1965,5004,04Apr99,5
2052,5004,04Apr99,6
1979,5004,04Apr99,25
2130,5004,04Apr99,33
1601,5004,04Apr99,9
1746,5004,04Apr99,5
2021,5004,04Apr99,6
1598,5004,04Apr99,8
2024,5004,04Apr99,15
1811,5004,04Apr99,13
2092,5004,04Apr99,29
1561,5004,04Apr99,6
1809,5004,04Apr99,7
2050,5004,04Apr99,6
1978,5004,04Apr99,17
1980,5004,04Apr99,14
1983,5004,04Apr99,23
1988,5004,04Apr99,13
2071,5004,04Apr99,19
1558,5004,04Apr99,8
1982,5004,04Apr99,33
2098,5004,04Apr99,21
1992,5004,04Apr99,32
2065,5004,04Apr99,8
1989,5004,04Apr99,6
1451,5004,04Apr99,9
1605,5004,04Apr99,8
2076,5004,04Apr99,6
1555,5004,04Apr99,18
1495,5004,04Apr99,5
1969,5004,04Apr99,6
2020,5004,04Apr99,21
2100,5004,04Apr99,23
1990,5004,04Apr99,25
1553,5004,04Apr99,7
1981,5004,04Apr99,27
1537,13029,04Apr99,30
1532,13029,04Apr99,19
1823,16031,04Apr99,5
1822,16031,04Apr99,20
1460,16031,04Apr99,30
1669,16031,04Apr99,90
1286,16031,04Apr99,9
1304,16031,04Apr99,19
1752,16031,04Apr99,13
1771,16031,04Apr99,18
1546,16031,04Apr99,20
1500,16031,04Apr99,7
1437,16031,04Apr99,25
1824,16031,04Apr99,10
1774,16031,04Apr99,16
1904,16031,04Apr99,23
1543,16031,04Apr99,10
1767,16031,04Apr99,26
1790,16031,04Apr99,34
1505,16031,04Apr99,32
1461,16031,04Apr99,17
1463,16031,04Apr99,15
1449,16031,04Apr99,8
1759,16031,04Apr99,6
1795,16031,04Apr99,11
1474,16031,04Apr99,14
2085,16031,04Apr99,34
1458,16031,04Apr99,16
1718,16031,04Apr99,15
1764,16031,04Apr99,40
1667,16031,04Apr99,17
1507,16031,04Apr99,7
1754,16031,04Apr99,24
1668,16031,04Apr99,26
1226,16031,04Apr99,13
1360,16031,04Apr99,20
1439,16031,04Apr99,6
1792,16031,04Apr99,15
1216,16031,04Apr99,25
1906,16031,04Apr99,57
1447,16031,04Apr99,9
1815,16031,04Apr99,23
1218,16031,04Apr99,6
1769,16031,04Apr99,18
1275,16031,04Apr99,16
1448,16031,04Apr99,12
1813,16031,04Apr99,17
1816,16031,04Apr99,27
1219,16031,04Apr99,7
1794,16031,04Apr99,25
1757,16031,04Apr99,38
1682,16031,04Apr99,8
1245,16031,04Apr99,8
1550,16031,04Apr99,16
1429,16031,04Apr99,6
1547,16031,04Apr99,18
1789,16031,04Apr99,10
1817,16031,04Apr99,5
1244,16031,04Apr99,9
1786,16031,04Apr99,18
1788,16031,04Apr99,40
1785,16031,04Apr99,19
1472,16031,04Apr99,19
1338,16031,04Apr99,17
1178,16031,04Apr99,18
1814,16031,04Apr99,15
1812,16031,04Apr99,7
1446,16031,04Apr99,28
1796,16031,04Apr99,439
1544,16031,04Apr99,16
1538,16031,04Apr99,3
1438,16031,04Apr99,35
1323,16031,04Apr99,21
1475,16031,04Apr99,35
1765,16031,04Apr99,7
1762,16031,04Apr99,8
1442,16031,04Apr99,6
1236,16031,04Apr99,12
1818,16031,04Apr99,50
1241,16031,04Apr99,22
1772,16031,04Apr99,42
1462,16031,04Apr99,40
1821,16031,04Apr99,18
1221,16031,04Apr99,18
1465,16031,04Apr99,25
1773,16031,04Apr99,40
1753,16031,04Apr99,15
2087,16031,04Apr99,6
1758,16031,04Apr99,33
1359,16031,04Apr99,16
1549,16031,04Apr99,25
1470,16031,04Apr99,24
1763,16031,04Apr99,7
1787,16031,04Apr99,45
1797,16031,04Apr99,12
2086,16031,04Apr99,38
1246,16031,04Apr99,7
1825,16031,04Apr99,93
1768,16031,04Apr99,18
1793,16031,04Apr99,19
1705,16031,04Apr99,63
1471,16031,04Apr99,14
1552,16031,04Apr99,15
1243,16031,04Apr99,13
1242,16031,04Apr99,7
1274,16031,04Apr99,27
1744,16031,04Apr99,25
1227,16031,04Apr99,9
1459,16031,04Apr99,25
1819,16031,04Apr99,43
1466,16031,04Apr99,26
1907,16031,04Apr99,38
1572,16031,04Apr99,15
1820,16031,04Apr99,30
1402,16031,04Apr99,8
1760,16031,04Apr99,30
1905,16031,04Apr99,19
1791,16031,04Apr99,26
1913,16031,04Apr99,19
1345,16040,04Apr99,5
1803,16040,04Apr99,15
1800,16040,04Apr99,25
1515,16040,04Apr99,28
1799,16040,04Apr99,25
1712,16040,04Apr99,10
1401,16040,04Apr99,30
1344,16040,04Apr99,9
1801,16040,04Apr99,18
1802,16040,04Apr99,22
1217,16040,04Apr99,22
1798,16040,04Apr99,8
1381,17077,04Apr99,7
1952,17077,04Apr99,25
1751,17077,04Apr99,21
1966,17077,04Apr99,20
1614,20000,04Apr99,8
1250,20000,04Apr99,7
1612,20000,04Apr99,28
1616,20000,04Apr99,21
1613,20000,04Apr99,13
1975,20000,04Apr99,25
1665,20000,04Apr99,6
1617,20000,04Apr99,10
1976,20000,04Apr99,7
1249,20000,04Apr99,4
1349,24072,04Apr99,7
1467,24072,04Apr99,25
1653,24072,04Apr99,7
1299,24072,04Apr99,14
1779,24072,04Apr99,3
1542,24072,04Apr99,22
1586,24072,04Apr99,12
1591,24072,04Apr99,27
1237,24072,04Apr99,13
1851,24072,04Apr99,30
1857,24072,04Apr99,7
1679,24072,04Apr99,18
1855,24072,04Apr99,60
1386,24072,04Apr99,13
1622,24072,04Apr99,14
1372,24072,04Apr99,6
1457,24072,04Apr99,21
1527,24072,04Apr99,20
1776,24072,04Apr99,27
1635,24072,04Apr99,17
1214,24072,04Apr99,40
1830,24072,04Apr99,26
1973,24072,04Apr99,26
1844,24072,04Apr99,17
1351,24072,04Apr99,7
1842,24072,04Apr99,15
1535,24072,04Apr99,17
1625,24072,04Apr99,35
1723,24072,04Apr99,45
1485,24072,04Apr99,10
1618,24072,04Apr99,7
1703,24072,04Apr99,7
1499,24072,04Apr99,15
1377,24072,04Apr99,10
1393,24072,04Apr99,15
1413,24072,04Apr99,15
1300,24072,04Apr99,18
1357,24072,04Apr99,8
1846,24072,04Apr99,6
1836,24072,04Apr99,6
1589,24072,04Apr99,34
1627,24072,04Apr99,17
1529,24072,04Apr99,5
1365,24072,04Apr99,15
1416,24072,04Apr99,11
1247,24072,04Apr99,7
1778,24072,04Apr99,8
1695,24072,04Apr99,6
1610,24072,04Apr99,7
1498,24072,04Apr99,22
1620,24072,04Apr99,43
1563,24072,04Apr99,29
1238,24072,04Apr99,22
1636,24072,04Apr99,16
1579,24072,04Apr99,15
1838,24072,04Apr99,35
1704,24072,04Apr99,50
1566,24072,04Apr99,23
1609,24072,04Apr99,8
1593,24072,04Apr99,5
1312,24072,04Apr99,26
1517,24072,04Apr99,5
1406,24072,04Apr99,7
1384,24072,04Apr99,5
1694,24072,04Apr99,29
1487,24072,04Apr99,30
1755,24072,04Apr99,23
1311,24072,04Apr99,15
1805,24072,04Apr99,18
1315,24072,04Apr99,17
1630,24072,04Apr99,17
1565,24072,04Apr99,9
1806,24072,04Apr99,32
1188,24072,04Apr99,48
1626,24072,04Apr99,18
1389,24072,04Apr99,25
1355,24072,04Apr99,8
1590,24072,04Apr99,6
1313,24072,04Apr99,13
1215,24072,04Apr99,26
1721,24072,04Apr99,12
1651,24072,04Apr99,24
1674,24072,04Apr99,25
1658,24072,04Apr99,5
1831,24072,04Apr99,22
1623,24072,04Apr99,8
1632,24072,04Apr99,108
1628,24072,04Apr99,5
1664,24072,04Apr99,6
1569,24072,04Apr99,16
1571,24072,04Apr99,23
1587,24072,04Apr99,6
1852,24072,04Apr99,7
1222,24072,04Apr99,9
1922,24072,04Apr99,19
1432,24072,04Apr99,32
1348,24072,04Apr99,10
1856,24072,04Apr99,16
1232,24072,04Apr99,24
1781,24072,04Apr99,18
1415,24072,04Apr99,44
1341,24072,04Apr99,4
1445,24072,04Apr99,13
1624,24072,04Apr99,30
1303,24072,04Apr99,6
1267,24072,04Apr99,23
1497,24072,04Apr99,25
1392,24072,04Apr99,5
1644,24072,04Apr99,14
1531,24072,04Apr99,16
1482,24072,04Apr99,8
1652,24072,04Apr99,7
1656,24072,04Apr99,21
1366,24072,04Apr99,16
1839,24072,04Apr99,350
1657,24072,04Apr99,6
1920,24072,04Apr99,15
1583,24072,04Apr99,6
1611,24072,04Apr99,11
1660,24072,04Apr99,6
1248,24072,04Apr99,8
1343,24072,04Apr99,7
1314,24072,04Apr99,14
1804,24072,04Apr99,13
1676,24072,04Apr99,7
1608,24072,04Apr99,16
1403,24072,04Apr99,6
1684,24072,04Apr99,24
1689,24072,04Apr99,16
1919,24072,04Apr99,28
1696,24072,04Apr99,10
1697,24072,04Apr99,12
1435,24072,04Apr99,8
1719,24072,04Apr99,22
1722,24072,04Apr99,6
1854,24072,04Apr99,22
1339,24072,04Apr99,11
1233,24072,04Apr99,23
1410,24072,04Apr99,8
1368,24072,04Apr99,11
1268,24072,04Apr99,6
1683,24072,04Apr99,10
1484,24072,04Apr99,6
1766,24072,04Apr99,21
1775,24072,04Apr99,39
1419,24072,04Apr99,8
1678,24072,04Apr99,20
1841,24072,04Apr99,14
1693,24072,04Apr99,28
1391,24072,04Apr99,6
1849,24072,04Apr99,50
1677,24072,04Apr99,18
1405,24072,04Apr99,19
1430,24072,04Apr99,14
1486,24072,04Apr99,27
1473,24072,04Apr99,13
1701,24072,04Apr99,8
1358,24072,04Apr99,8
1837,24072,04Apr99,18
1840,24072,04Apr99,13
1421,24072,04Apr99,42
1845,24072,04Apr99,22
1645,24072,04Apr99,5
1375,24072,04Apr99,14
1340,24072,04Apr99,14
1777,24072,04Apr99,18
1588,24072,04Apr99,6
1287,24072,04Apr99,3
1710,24072,04Apr99,20
1951,24072,04Apr99,20
1700,24072,04Apr99,40
1310,24072,04Apr99,26
1707,24072,04Apr99,32
1302,24072,04Apr99,9
1301,24072,04Apr99,10
1479,24072,04Apr99,6
1848,24072,04Apr99,6
1239,24072,04Apr99,14
1581,24072,04Apr99,7
1325,24072,04Apr99,23
1290,24072,04Apr99,14
1288,24072,04Apr99,22
1699,24072,04Apr99,33
1594,24072,04Apr99,21
1367,24072,04Apr99,25
1404,24072,04Apr99,9
1441,24072,04Apr99,27
1568,24072,04Apr99,24
1276,24072,04Apr99,15
1431,24072,04Apr99,12
1923,24072,04Apr99,50
1412,24072,04Apr99,20
1388,24072,04Apr99,14
1807,24072,04Apr99,11
1251,24072,04Apr99,24
1347,24072,04Apr99,10
1564,24072,04Apr99,16
1659,24072,04Apr99,25
1428,24072,04Apr99,5
1352,24072,04Apr99,5
1379,24072,04Apr99,7
1536,24072,04Apr99,23
1921,24072,04Apr99,14
1724,24072,04Apr99,58
1661,24072,04Apr99,34
1541,24072,04Apr99,12
1720,24072,04Apr99,44
1756,24072,04Apr99,18
1528,24072,04Apr99,40
1436,24072,04Apr99,13
1641,24072,04Apr99,19
1607,24072,04Apr99,5
1240,24072,04Apr99,28
1228,24072,04Apr99,34
1492,24072,04Apr99,11
1690,24072,04Apr99,16
1371,24072,04Apr99,8
1353,24072,04Apr99,46
1385,24072,04Apr99,5
1570,24072,04Apr99,24
1631,24072,04Apr99,7
1673,24072,04Apr99,20
1582,24072,04Apr99,5
1253,24072,04Apr99,16
1742,24072,04Apr99,21
1427,24072,04Apr99,10
1434,24072,04Apr99,11
1289,24072,04Apr99,16
1234,24072,04Apr99,4
1633,24072,04Apr99,32
1702,24072,04Apr99,22
1619,24072,04Apr99,6
1847,24072,04Apr99,12
1675,24072,04Apr99,6
1530,24072,04Apr99,45
1373,24072,04Apr99,10
1374,24072,04Apr99,20
1309,24072,04Apr99,11
1224,24072,04Apr99,3
1409,24072,04Apr99,14
1534,24072,04Apr99,22
1519,24072,04Apr99,13
1418,24072,04Apr99,18
1408,24072,04Apr99,8
1843,24072,04Apr99,10
1706,24072,04Apr99,32
1426,24072,04Apr99,5
1708,24072,04Apr99,20
1468,24072,04Apr99,15
1577,24072,04Apr99,8
1337,24072,04Apr99,27
1411,24072,04Apr99,4
1387,24072,04Apr99,8
1743,24072,04Apr99,25
1380,24072,04Apr99,24
1220,24072,04Apr99,6
1596,24072,04Apr99,18
1390,24072,04Apr99,11
1741,24072,04Apr99,24
1621,24072,04Apr99,16
1407,24072,04Apr99,6
1252,24072,04Apr99,34
1567,24072,04Apr99,25
1691,24072,04Apr99,3
1456,24072,04Apr99,12
1685,24072,04Apr99,27
1578,24072,04Apr99,12
1961,24072,04Apr99,7
1629,24072,04Apr99,7
1356,24072,04Apr99,8
1204,24072,04Apr99,16
1711,24072,04Apr99,12
1850,24072,04Apr99,10
1580,24072,04Apr99,8
1376,24072,04Apr99,18
1592,24072,04Apr99,6
1223,24072,04Apr99,6
1853,24072,04Apr99,18
1968,24072,04Apr99,16
1585,24072,04Apr99,17
1595,24072,04Apr99,22
1686,24072,04Apr99,34
1483,24072,04Apr99,5
1643,24072,04Apr99,6
1327,24072,04Apr99,5
1780,24072,04Apr99,27
1350,24072,04Apr99,6
1761,24072,04Apr99,27
1259,27066,04Apr99,7
1273,27066,04Apr99,4
1272,27066,04Apr99,6
1307,29034,04Apr99,15
2334,-1000,05Apr99,51
2518,-1000,05Apr99,25
2692,-1000,05Apr99,83
2660,-1000,05Apr99,52
2747,-1000,05Apr99,13
2400,-1000,05Apr99,53
67897,-1000,05Apr99,70
67444,-1000,05Apr99,69
2638,-1000,05Apr99,91
2416,-1000,05Apr99,50
2396,-1000,05Apr99,23
2647,-1000,05Apr99,166
67846,-1000,05Apr99,68
2320,-1000,05Apr99,114
2387,-1000,05Apr99,89
2691,-1000,05Apr99,21
2532,-1000,05Apr99,45
2569,-1000,05Apr99,336
67785,-1000,05Apr99,125
